Complex ID,GTFS Longitude,GTFS Latitude
329,-74.01378299999999,40.707513
635,-74.013664,40.702068
624,-74.008811,40.713051
628,-74.006571,40.709416
333,-74.0091,40.706821000000005
334,-73.993086,40.697466
620,-73.989998,40.693219
336,-73.985065,40.690545
337,-73.980492,40.688246
617,-73.977666,40.684359
339,-73.975098,40.680828999999996
340,-73.971046,40.675235
341,-73.964375,40.671987
626,-73.95813100000001,40.670682
343,-73.950466,40.669847
344,-73.942161,40.669399
345,-73.93294200000001,40.668896999999994
346,-73.92260999999999,40.664716999999996
347,-73.916327,40.661453
348,-73.908946,40.662549
349,-73.902447,40.663515000000004
350,-73.89489499999999,40.664635
351,-73.889395,40.665449
352,-73.884079,40.666235
353,-73.950683,40.667883
354,-73.95085,40.662742
355,-73.9502,40.656652
356,-73.949575,40.650843
357,-73.948959,40.645098
358,-73.948411,40.639967
359,-73.947642,40.632836
360,-73.828121,40.852462
361,-73.83256899999999,40.84681
362,-73.836322,40.843863
363,-73.842952,40.839892
364,-73.847036,40.836488
365,-73.85122199999999,40.834255
366,-73.860816,40.833226
367,-73.86761800000001,40.831509000000004
368,-73.874516,40.829521
369,-73.879159,40.828584
370,-73.88628299999999,40.826525
371,-73.890549,40.820948
372,-73.896435,40.816103999999996
373,-73.904098,40.812118
374,-73.907657,40.808719
375,-73.91404200000001,40.805368
376,-73.91924,40.807565999999994
377,-73.926138,40.810476
378,-73.878751,40.886037
379,-73.88465500000001,40.87975
380,-73.890064,40.873412
381,-73.89717399999999,40.86776
382,-73.901034,40.862803
383,-73.903879,40.858407
384,-73.907684,40.853453
385,-73.911794,40.84848
386,-73.91468499999999,40.844434
387,-73.91779100000001,40.840075
388,-73.9214,40.835537
604,-73.925831,40.827994
603,-73.927351,40.818375
391,-73.929849,40.813224
392,-73.93759399999999,40.804138
393,-73.94161700000001,40.798629
394,-73.94425,40.79502
395,-73.947478,40.7906
396,-73.95107,40.785672
397,-73.955589,40.779492
398,-73.959874,40.77362
399,-73.96387,40.768141
613,-73.967967,40.762526
612,-73.97192,40.757107
610,-73.976848,40.751776
403,-73.982076,40.746081
404,-73.984264,40.74307
405,-73.986599,40.739864000000004
602,-73.989951,40.734673
407,-73.99107,40.730053999999996
619,-73.994659,40.725915
409,-73.997141,40.722301
623,-74.00019300000001,40.718803
622,-74.004131,40.713065
628,-74.009509,40.710368
413,-74.011862,40.707557
414,-74.014065,40.704817
620,-73.990151,40.692403999999996
416,-73.85061999999999,40.903125
417,-73.854376,40.898379
418,-73.857473,40.893193
419,-73.860341,40.888022
420,-73.862633,40.883895
421,-73.866256,40.87785
422,-73.867164,40.871356
423,-73.867352,40.865462
424,-73.867615,40.857192
425,-73.86845699999999,40.848828000000005
426,-73.873488,40.841894
427,-73.880049,40.840295000000005
428,-73.887734,40.837288
429,-73.891865,40.829993
430,-73.893064,40.824073
431,-73.896736,40.822181
432,-73.90177,40.819585
433,-73.90780699999999,40.81649
434,-73.917757,40.816109000000004
603,-73.92671800000001,40.81841
436,-73.93647,40.823879999999996
437,-73.936245,40.820421
438,-73.94077,40.814229
439,-73.945495,40.807753999999996
440,-73.949625,40.802098
441,-73.95182199999999,40.799075
442,-73.830834,40.8883
443,-73.83859100000001,40.878663
444,-73.846384,40.869526
445,-73.85535899999999,40.858985
446,-73.860495,40.854364000000004
447,-73.83003000000001,40.7596
448,-73.845625,40.754622
449,-73.855334,40.75173
450,-73.8627,40.749865
451,-73.869527,40.749145
452,-73.876613,40.748408000000005
453,-73.883697,40.747659000000006
616,-73.89139399999999,40.746848
455,-73.896403,40.746325
456,-73.902984,40.74563
457,-73.912549,40.744149
458,-73.918435,40.743132
459,-73.92401600000001,40.743781
460,-73.93099699999999,40.744587
